Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,112.11400,1,25,16777215,1582985895,2020-02-29 08:18:15,646,0,29278192643604487,9fc32f0e,日本加油,,91101531
2,,136.38800,1,25,16777215,1582985916,2020-02-29 08:18:36,646,0,29278203793637443,21618bbd,佛系吗,,91101531
3,,7.09300,1,25,16777215,1582985925,2020-02-29 08:18:45,646,0,29278208058195973,2f5c8c45,回弗兰咯~,,91101531
4,,148.51400,1,25,16777215,1582985931,2020-02-29 08:18:51,646,0,29278211161980935,9fc32f0e,万人裸基？？？？,,91101531
5,,187.77400,1,25,16777215,1582985947,2020-02-29 08:19:07,646,0,29278219857297415,4b44c1fe,黄字天秀,,91101531
6,,184.98600,1,25,16777215,1582985967,2020-02-29 08:19:27,646,0,29278230292725763,9fc32f0e,我也带,,91101531
7,,194.07900,1,25,16777215,1582985976,2020-02-29 08:19:36,646,0,29278235040677895,9fc32f0e,我也惜命,,91101531
8,,232.29400,1,25,16777215,1582986051,2020-02-29 08:20:51,646,0,29278274111143941,4b44c1fe,草哈哈哈哈哈哈哈哈哈哈哈哈,,91101531
9,,296.27900,1,25,16777215,1582986078,2020-02-29 08:21:18,646,0,29278288615047175,9fc32f0e,国内快控制好了,,91101531
10,,191.31800,1,25,16777215,1582986094,2020-02-29 08:21:34,646,0,29278296778735619,c23a6bdd,瘸子？,,91101531
11,,183.50400,1,25,16777215,1582986102,2020-02-29 08:21:42,646,0,29278301240426501,b6e6a598,惜命就别出门呗,,91101531
12,,275.89300,1,25,16777215,1582986124,2020-02-29 08:22:04,646,0,29278312635301891,dd702db,媒体宣传也不到位吧....,,91101531
13,,96.21000,5,25,16777215,1582986143,2020-02-29 08:22:23,646,0,29278322516557827,7cea8311,日本没有这个能力去防控,,91101531
14,,230.09500,1,25,16777215,1582986159,2020-02-29 08:22:39,646,0,29278330932953091,a4da0dfd,回国吧。国内安全,,91101531
15,,220.77900,1,25,16777215,1582986181,2020-02-29 08:23:01,646,0,29278342458376195,b6e6a598,还没确认狗会感染嘞,,91101531
16,,139.85700,1,25,16777215,1582986214,2020-02-29 08:23:34,646,0,29278359591583749,80ed21df,哈利路亚,,91101531
17,,131.33200,1,25,16777215,1582986255,2020-02-29 08:24:15,646,0,29278381284524039,fc9036d6,想多了，美国也不急,,91101531
18,,291.16700,1,25,16777215,1582986275,2020-02-29 08:24:35,646,0,29278391902928899,b6e6a598,貌似日本人都怕担责吧,,91101531
19,,339.48900,1,25,16777215,1582986350,2020-02-29 08:25:50,646,0,29278431098175491,77d87a55,下次一定,,91101531
20,,93.16400,1,25,16777215,1582986374,2020-02-29 08:26:14,646,0,29278443810586627,7f79b8d9,日本牛逼,,91101531
21,,194.80200,1,25,16646914,1582986381,2020-02-29 08:26:21,646,0,29278447479029765,d1fea8dd,【没戴反】【挂耳固定端都是在内侧，颜色的话是有这种外侧浅蓝内侧白的口罩的】,,91101531
22,,215.94800,1,25,16646914,1582986411,2020-02-29 08:26:51,646,0,29278462976458757,d1fea8dd,【没戴反】【挂耳固定端都是在内侧】,,91101531
23,,324.83900,1,25,16777215,1582986491,2020-02-29 08:28:11,646,0,29278505018064901,547d7824,泡面真的吃吐了,,91101531
24,,43.29900,1,25,16777215,1582986496,2020-02-29 08:28:16,646,0,29278507805179907,906fc7b4,回来安全？？？？？,,91101531
25,,260.05100,1,25,16646914,1582986561,2020-02-29 08:29:21,646,0,29278541729759237,d1fea8dd,那个检出病毒的狗，只是口腔附着了主人输出的病毒，没有被感染，病毒感染不了宿主很快就会死掉,,91101531
26,,262.97900,1,25,16777215,1582986569,2020-02-29 08:29:29,646,0,29278545795612675,d1fea8dd,那个检出病毒的狗，只是口腔附着了主人输出的病毒，没有被感染，病毒感染不了宿主很快就会死掉,,91101531
27,,265.82700,1,25,16646914,1582986577,2020-02-29 08:29:37,646,0,29278550044442629,d1fea8dd,那个检出病毒的狗，只是口腔附着了主人输出的病毒，没有被感染，病毒感染不了宿主很快就会死掉,,91101531
28,,287.41100,1,25,16646914,1582986673,2020-02-29 08:31:13,646,0,29278600272281605,d1fea8dd,我家这边大年三十晚上直接下通知所有聚集性娱乐场所暂停营业,,91101531
29,,254.87500,1,25,16777215,1582986687,2020-02-29 08:31:27,646,0,29278607755444293,92acbbbf,没反吧 我买的日本5层口罩也是白色的,,91101531
30,,241.84800,1,25,16777215,1582986789,2020-02-29 08:33:09,646,0,29278661470846979,80469d9c,因为老年人致死率高吗？,,91101531
31,,31.67900,1,25,16777215,1582986803,2020-02-29 08:33:23,646,0,29278668736954371,b7a180ef,回来吧,,91101531
32,,253.03000,1,25,16777215,1582986843,2020-02-29 08:34:03,646,0,29278689705852931,cf017e45,我跟老公从外省他老家回到我们自己家都自主隔离了14天,,91101531
33,,299.55000,1,25,16777215,1582986904,2020-02-29 08:35:04,646,0,29278721703673861,cf017e45,你们看看隔壁韩国吧，唉,,91101531
34,,130.83600,1,25,16707842,1582987029,2020-02-29 08:37:09,646,0,29278786886828037,28eb337f,等等等等你把话说清楚 什么是裸祭,,91101531
35,,178.94900,1,25,16777215,1582987077,2020-02-29 08:37:57,646,0,29278812284911619,b742bde,点赞点赞！,,91101531
36,,339.45600,1,25,16777215,1582987149,2020-02-29 08:39:09,646,0,29278850034696195,3fcd506c,下次一定,,91101531
37,,171.36000,1,25,16777215,1582987219,2020-02-29 08:40:19,646,0,29278886587006983,28eb337f,？？？？？,,91101531
38,,177.19900,1,25,16777215,1582987228,2020-02-29 08:40:28,646,0,29278891520557063,28eb337f,？？？？？,,91101531
39,,80.41300,1,25,15138834,1582987664,2020-02-29 08:47:44,646,0,29279119783493637,d7566403,？？？？？？？？,,91101531
40,,93.97600,1,25,16777215,1582987686,2020-02-29 08:48:06,646,0,29279131450474499,b501a51d,12万？？？？？,,91101531
41,,121.11200,1,25,15138834,1582987729,2020-02-29 08:48:49,646,0,29279153932992517,d7566403,不算犯罪吗,,91101531
42,,124.49200,1,25,15138834,1582987738,2020-02-29 08:48:58,646,0,29279158994993159,d7566403,？？？？太迷惑了,,91101531
43,,318.67700,1,25,16777215,1582987749,2020-02-29 08:49:09,646,0,29279164604350467,8554608f,等日本爆发了，回来都不可能，条件又没国内好,,91101531
44,,132.33300,1,25,15138834,1582987752,2020-02-29 08:49:12,646,0,29279166287839237,d7566403,快回家吧豆奶,,91101531
45,,72.85300,1,25,16777215,1582987755,2020-02-29 08:49:15,646,0,29279167607472133,b31df53,23,,91101531
46,,156.33900,1,25,16777215,1582987770,2020-02-29 08:49:30,646,0,29279175746519047,6327800b,囤粮食吧,,91101531
47,,107.21500,1,25,16777215,1582987805,2020-02-29 08:50:05,646,0,29279193938264067,425ff7c1,为了保住奥运会,,91101531
48,,187.49300,1,25,15138834,1582987815,2020-02-29 08:50:15,646,0,29279199275515907,d7566403,又是这个步伐hhhhh,,91101531
49,,174.75100,1,25,16777215,1582987835,2020-02-29 08:50:35,646,0,29279209603465221,bf0520e1,点赞,,91101531
50,,300.81300,1,25,15138834,1582987938,2020-02-29 08:52:18,646,0,29279263720472579,d7566403,他们敢办，谁敢去啊,,91101531
51,,49.33900,1,25,16777215,1582987952,2020-02-29 08:52:32,646,0,29279270853410887,c05ca669,回国吧，虽然要隔离21天，到那也比日本安全,,91101531
52,,156.75000,1,25,16777215,1582988069,2020-02-29 08:54:29,646,0,29279332150542343,fd16609f,为什么意识不到呢？？？？,,91101531
53,,299.38200,1,25,16777215,1582988150,2020-02-29 08:55:50,646,0,29279374886830085,563d0022,快回来吧,,91101531
54,,180.02600,1,25,15138834,1582988280,2020-02-29 08:58:00,646,0,29279442980831239,d09e7932,口罩各国都不同，别拿你自己戴的来对比。,,91101531
55,,183.17700,1,25,16777215,1582988317,2020-02-29 08:58:37,646,0,29279462510034949,766c27af,怕死吧,,91101531
56,,123.58000,1,25,16777215,1582988335,2020-02-29 08:58:55,646,0,29279471802515459,9a85ec35,作死啊太作死了,,91101531
57,,139.74500,1,25,16777215,1582988339,2020-02-29 08:58:59,646,0,29279473976737799,3d7ed5f8,豆奶，注意安全，回中国吧,,91101531
58,,183.93200,1,25,16777215,1582988406,2020-02-29 09:00:06,646,0,29279508866531331,f8f6a9be,怕死,,91101531
59,,195.71800,1,25,16777215,1582988425,2020-02-29 09:00:25,646,0,29279518867849221,9a85ec35,不戴护目镜吗,,91101531
60,,187.41200,1,25,16777215,1582988427,2020-02-29 09:00:27,646,0,29279519990349829,f8f6a9be,才是对的,,91101531
61,,8.29700,1,25,16777215,1582988548,2020-02-29 09:02:28,646,0,29279583344787459,a4e4f155,保护纳豆,,91101531
62,,13.45700,1,25,16777215,1582988581,2020-02-29 09:03:01,646,0,29279600593862661,a4e4f155,纳豆要小心呀,,91101531
63,,192.51400,1,25,16777215,1582988669,2020-02-29 09:04:29,646,0,29279647193104391,b5700bef,脚瘸了,,91101531
64,,268.93300,5,25,41194,1582988680,2020-02-29 09:04:40,646,0,29279652650418179,7e73dd55,不是不重视 是没医院也修不起来医院,,91101531
