Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,150.11200,1,25,16777215,1582859025,2020-02-27 21:03:45,644,0,29211676098166789,e09589d8,zuo,,91101531
2,,131.63200,5,25,15138834,1582859071,2020-02-27 21:04:31,644,0,29211700589232135,a2ff31ac,我觉得日本没了。,,91101531
3,,73.69400,1,25,16777215,1582859080,2020-02-27 21:04:40,644,0,29211704705941511,c741b199,他根本就是在吹唢呐,,91101531
4,,207.44900,1,25,16777215,1582859083,2020-02-27 21:04:43,644,0,29211706641088517,e09589d8,做做做做做做做做做做做做做做做做,,91101531
5,,186.57600,1,25,16777215,1582859158,2020-02-27 21:05:58,644,0,29211745639202821,1e43a07b,鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅,,91101531
6,,260.24400,1,25,16777215,1582859175,2020-02-27 21:06:15,644,0,29211754913857541,a87b039b,关键年轻人不容易致死，老年人容易啊,,91101531
7,,280.30500,1,25,16777215,1582859193,2020-02-27 21:06:33,644,0,29211764148666375,a87b039b,年轻人不戴传染给老人会很严重,,91101531
8,,170.75500,1,25,16777215,1582859279,2020-02-27 21:07:59,644,0,29211809558298631,6679a72f,说人家不该帮的，你们的脑子里是什么玩意,,91101531
9,,325.94900,1,25,16777215,1582859280,2020-02-27 21:08:00,644,0,29211809987166215,70570b37,我要是你就做好防护尽快回国,,91101531
10,,287.50100,1,25,16777215,1582859400,2020-02-27 21:10:00,644,0,29211872715079685,8d4e88a1,国内进超市必须戴口罩还有要给你手消息,,91101531
11,,88.39800,1,25,16777215,1582859442,2020-02-27 21:10:42,644,0,29211894802808839,a44a1cbe,那么多?,,91101531
12,,229.82100,1,25,16777215,1582859493,2020-02-27 21:11:33,644,0,29211921536778243,9b3aba99,哈哈哈哈哈哈哈哈哈哈哈,,91101531
13,,202.08300,1,25,16777215,1582859568,2020-02-27 21:12:48,644,0,29211960862572551,a44a1cbe,戴反了呀,,91101531
14,,139.44400,1,25,16777215,1582859584,2020-02-27 21:13:04,644,0,29211969036746755,5ec9a17a,还有韩国,,91101531
15,,253.21600,1,25,16777215,1582859590,2020-02-27 21:13:10,644,0,29211972481843203,e2cdba50,尽量不要外出,,91101531
16,,186.33200,1,25,16777215,1582859630,2020-02-27 21:13:50,644,0,29211993146130435,791795e,怕死,,91101531
17,,132.43900,1,25,16777215,1582859637,2020-02-27 21:13:57,644,0,29211997243441223,c3b6999f,含有韩国人也不急,,91101531
18,,60.03800,1,25,16777215,1582859658,2020-02-27 21:14:18,644,0,29212007813611523,2a241bb7,中国14亿人能统一号令这作业不好抄，回国吧,,91101531
19,,55.04900,1,25,15138834,1582859659,2020-02-27 21:14:19,644,0,29212008333705221,77b3a4e6,日本地铁公交人最多！,,91101531
20,,81.30400,1,25,16777215,1582859683,2020-02-27 21:14:43,644,0,29212020865761285,2a241bb7,回国吧,,91101531
21,,54.33400,5,25,15138834,1582859726,2020-02-27 21:15:26,644,0,29212043863654407,5bfb5afc,日本加油,,91101531
22,,339.33800,1,25,16777215,1582859763,2020-02-27 21:16:03,644,0,29212062999117827,51aded62,下次一钉,,91101531
23,,203.51000,1,25,16777215,1582859817,2020-02-27 21:16:57,644,0,29212091115634691,18166879,光带口罩又没用，眼镜也不保护,,91101531
24,,19.96700,1,25,41194,1582859829,2020-02-27 21:17:09,644,0,29212097633583107,f95a47cd,先囤些吃的，最近尽量别出门,,91101531
25,,37.82100,1,25,16777215,1582859848,2020-02-27 21:17:28,644,0,29212107607638021,69f7dbd2,回来啊,,91101531
26,,108.09100,1,25,16777215,1582859890,2020-02-27 21:18:10,644,0,29212129479884807,24c7e994,这样是奥运会谁敢去呀,,91101531
27,,289.01300,5,25,16646914,1582859906,2020-02-27 21:18:26,644,0,29212138066673671,234cc910,请各位记住，口罩为了方便辨认正反，外部颜色不定，内部一定是白色。,,91101531
28,,77.27500,1,25,16777215,1582859913,2020-02-27 21:18:33,644,0,29212141585170435,c710cebf,凉凉,,91101531
29,,24.55100,1,25,16777215,1582859935,2020-02-27 21:18:55,644,0,29212153402097735,2f4fe31f,回来吧还是保险,,91101531
30,,339.29100,1,18,6830715,1582860061,2020-02-27 21:21:01,644,0,29212219353333765,15218304,下次一定,,91101531
31,,188.43400,1,25,16777215,1582860063,2020-02-27 21:21:03,644,0,29212220409249797,4fc6e405,又开始了,,91101531
32,,187.13100,1,25,16777215,1582860099,2020-02-27 21:21:39,644,0,29212239355445253,1135b77d,一米六一米七？？？？,,91101531
33,,190.53700,1,25,16777215,1582860258,2020-02-27 21:24:18,644,0,29212322383790083,5ee0e318,宁又来了,,91101531
34,,192.43400,1,25,16777215,1582860282,2020-02-27 21:24:42,644,0,29212335261876231,78970647,哈哈哈哈哈哈哈,,91101531
35,,229.19400,1,25,16777215,1582860322,2020-02-27 21:25:22,644,0,29212356064051207,78970647,哈哈哈哈哈哈哈,,91101531
36,,224.09700,1,25,16777215,1582860377,2020-02-27 21:26:17,644,0,29212385005797383,58fe90c3,我出门遛弯，看见别人遛狗，狗都带着口罩呢,,91101531
