Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,68.65500,1,25,16777215,1583075383,2020-03-01 09:09:43,647,0,29325110246113283,a6ad26a4,回来!,,91101531
2,,86.31800,1,25,16777215,1583075401,2020-03-01 09:10:01,647,0,29325119507136515,a6ad26a4,回来啊,,91101531
3,,319.68200,1,25,16777215,1583075635,2020-03-01 09:13:55,647,0,29325241919471623,a6ad26a4,屯物质,,91101531
4,,137.04700,1,25,16777215,1583075711,2020-03-01 09:15:11,647,0,29325281775845381,6457088b,美国也不急,,91101531
5,,17.48700,1,25,16777215,1583075965,2020-03-01 09:19:25,647,0,29325415269007365,89a0d93c,听上海的朋友说上海也是一样的咯～,,91101531
6,,213.49300,1,25,16777215,1583076025,2020-03-01 09:20:25,647,0,29325446594166791,e696d5f8,因为日本那边的老人经历了很多次流感爆发精明的很,,91101531
7,,137.81300,1,25,16777215,1583076028,2020-03-01 09:20:28,647,0,29325448294432773,6aff2a49,北海道知事很有作为呀,,91101531
8,,7.16900,5,25,15138834,1583076036,2020-03-01 09:20:36,647,0,29325452132220933,7f517ae3,纳豆纳豆要带口罩!要平平安安的,,91101531
9,,234.36800,1,25,16777215,1583076334,2020-03-01 09:25:34,647,0,29325608460746759,15a674b3,哈哈哈哈哈哈哈,,91101531
10,,235.95700,1,25,16777215,1583076396,2020-03-01 09:26:36,647,0,29325641088761859,9bfc4302,哈哈哈哈哈,,91101531
11,,150.23900,1,25,16777215,1583076592,2020-03-01 09:29:52,647,0,29325744067313669,c0577b95,回国吧！中国重症一万多都有地方隔离，日本1800个就撑不住了，,,91101531
12,,281.30800,5,25,15138834,1583076752,2020-03-01 09:32:32,647,0,29325827850633219,c0577b95,中国都敢叫停，基本全停，日本居然不行吗？,,91101531
13,,289.50200,1,25,16777215,1583076956,2020-03-01 09:35:56,647,0,29325934489763847,b93354a0,豆奶快屯吃的，如果爆发可能买不到喔,,91101531
14,,17.57000,1,25,16777215,1583077324,2020-03-01 09:42:04,647,0,29326127455535107,995b06d1,不要回来,,91101531
15,,201.50600,1,25,16777215,1583077458,2020-03-01 09:44:18,647,0,29326198165209095,d2967f0d,瘸子吗,,91101531
16,,198.62000,1,25,16777215,1583077465,2020-03-01 09:44:25,647,0,29326201552633863,d73650ec,你有纳豆激酶,,91101531
17,,73.39700,1,25,16777215,1583077723,2020-03-01 09:48:43,647,0,29326336856162307,e891b11f,豆奶好美,,91101531
18,,138.92100,1,25,16777215,1583077748,2020-03-01 09:49:08,647,0,29326350103871491,44d3f654,迷惑,,91101531
19,,70.48700,1,25,16777215,1583077783,2020-03-01 09:49:43,647,0,29326368202293251,e891b11f,这样打扮好美啊！,,91101531
20,,201.92800,1,25,16777215,1583077811,2020-03-01 09:50:11,647,0,29326383182774277,44d3f654,哈哈哈哈哈哈哈哈哈,,91101531
21,,294.53800,1,25,16777215,1583077882,2020-03-01 09:51:22,647,0,29326420200652807,6ecffd1a,国内都停了2个月了,,91101531
22,,137.45300,1,25,16777215,1583077930,2020-03-01 09:52:10,647,0,29326445478674435,53e51b8a,梭哈！,,91101531
23,,111.89300,1,25,16777215,1583078193,2020-03-01 09:56:33,647,0,29326583180820485,aba68b70,美式防护,,91101531
24,,195.53800,1,25,16777215,1583078208,2020-03-01 09:56:48,647,0,29326590939234307,3294dcb3,戴反了！！,,91101531
25,,30.71000,5,25,16777215,1583078274,2020-03-01 09:57:54,647,0,29326625814872071,bed825a6,bgm:The Right Path ,,91101531
26,,168.10500,1,25,16777215,1583078287,2020-03-01 09:58:07,647,0,29326632834039811,3ba01163,没那么严重会封城？讲笑话呢你们在,,91101531
27,,149.84000,1,25,16777215,1583078510,2020-03-01 10:01:50,647,0,29326749626007555,29527f18,上亿资本与万人生命下的资本选择,,91101531
28,,334.77300,1,25,16777215,1583078553,2020-03-01 10:02:33,647,0,29326771780845575,43413be9,下次一定,,91101531
29,,93.35300,5,25,16707842,1583078565,2020-03-01 10:02:45,647,0,29326778294075397,801b2b95,中国的答案不是谁都抄的起来的,,91101531
30,,326.15900,1,25,16777215,1583079059,2020-03-01 10:10:59,647,0,29327037518315523,d691eb22,赶紧暂停,,91101531
31,,171.61600,1,25,16777215,1583079081,2020-03-01 10:11:21,647,0,29327048831926279,85063deb,nb,,91101531
32,,326.38000,1,25,16777215,1583079242,2020-03-01 10:14:02,647,0,29327133281091653,623de9ac,快屯点卫生纸，哦还有卫生巾…快点,,91101531
