Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,614.74400,1,25,16777215,1582882526,2020-02-28 03:35:26,645,0,29223997414572037,593407df,北京有天桥下住的,,91188408
2,,53.16800,1,25,16777215,1582882537,2020-02-28 03:35:37,645,0,29224003220537349,548cfd1a,我不配,,91188408
3,,1184.90400,1,25,16777215,1582882564,2020-02-28 03:36:04,645,0,29224017378934789,49367c5a,？,,91188408
4,,19.46000,1,25,16777215,1582882633,2020-02-28 03:37:13,645,0,29224053552709637,f9f8c663,我以为我点错了。。,,91188408
5,,58.38400,1,25,16777215,1582882698,2020-02-28 03:38:18,645,0,29224087789764675,44b3559b,说不算的算人吗？,,91188408
6,,572.53400,1,25,16777215,1582882742,2020-02-28 03:39:02,645,0,29224110585282563,e7cbc80b,国企城投刚毕业1200半年，然后转正3000,,91188408
7,,794.89400,1,25,16646914,1582882784,2020-02-28 03:39:44,645,0,29224132572872707,bf5b5115,教育还公平？江西学生和别的省学生考同一个学校你知道要高多少分吗？江西本来就教育不发达分数线还高，你管这个叫教育公平？,,91188408
8,,1188.21800,1,25,16777215,1582882867,2020-02-28 03:41:07,645,0,29224176291151877,ab252eb4,我都忘了自己的样子了！是实话！,,91188408
9,,11.85900,1,25,16777215,1582882938,2020-02-28 03:42:18,645,0,29224213580087299,4bbd514,我没房没车但是早饭一定要吃好,,91188408
10,,45.10400,1,25,16777215,1582882970,2020-02-28 03:42:50,645,0,29224230216794115,3ef27219,不算,,91188408
11,,369.54500,1,25,16777215,1582883140,2020-02-28 03:45:40,645,0,29224319404474373,6d71d6dc,家人就你一个工作的么,,91188408
12,,1226.01100,1,25,16777215,1582883249,2020-02-28 03:47:29,645,0,29224376293392389,b6349ee0,白嫖失败,,91188408
13,,406.82000,1,25,16777215,1582883280,2020-02-28 03:48:00,645,0,29224392833630215,265d4601,五环外差不多，不过在哪住不是住呢,,91188408
14,,138.77100,1,25,16777215,1582883376,2020-02-28 03:49:36,645,0,29224442822918149,9d03d253,累计的 ，四个季度，，,,91188408
15,,234.86700,1,25,16777215,1582883472,2020-02-28 03:51:12,645,0,29224493232160773,9d03d253,是不是都是傻，那个是累计的,,91188408
16,,133.49000,1,25,16777215,1582883497,2020-02-28 03:51:37,645,0,29224506553794563,9a329519,高中大学的人有收入吗，最多假期临时工,,91188408
17,,40.57300,1,25,16777215,1582883540,2020-02-28 03:52:20,645,0,29224529097654277,fdc34b3,月薪一万才算普通人,,91188408
18,,166.87300,1,25,16777215,1582883666,2020-02-28 03:54:26,645,0,29224595213516869,fdc34b3,怎么这么少,,91188408
19,,427.85600,1,25,16777215,1582883719,2020-02-28 03:55:19,645,0,29224622774288387,a0d240a7,70一天过分了，三餐叫外卖真有钱，还算啥账，根本不是正常生活,,91188408
20,,165.10400,1,25,16777215,1582883767,2020-02-28 03:56:07,645,0,29224648202780679,4a8d4049,？？？？？,,91188408
21,,1212.37300,1,25,16777215,1582883927,2020-02-28 03:58:47,645,0,29224731999207429,34b7cc2d,再见,,91188408
22,,54.39300,1,25,16777215,1582883997,2020-02-28 03:59:57,645,0,29224768729251843,8572f8d0,不算,,91188408
23,,391.65800,1,25,16777215,1582884018,2020-02-28 04:00:18,645,0,29224779880333315,a8eefc60,北京四环，13苹，近公交不近地铁，不含水电3k每月,,91188408
24,,1140.44700,1,25,16777215,1582884024,2020-02-28 04:00:24,645,0,29224783063285763,7a39396e,主播，辛苦了,,91188408
25,,63.31200,1,25,16777215,1582884028,2020-02-28 04:00:28,645,0,29224784802873351,c29c78fa,？？？？？？,,91188408
26,,390.08800,1,25,16777215,1582884089,2020-02-28 04:01:29,645,0,29224816873046023,fdc34b3,交不了,,91188408
27,,118.46800,1,25,16777215,1582884238,2020-02-28 04:03:58,645,0,29224894967840771,b72d17c9,"应该看中位数,不能只看平均数",,91188408
28,,66.91200,1,25,16777215,1582884304,2020-02-28 04:05:04,645,0,29224929810972677,b604443d,造假了,,91188408
29,,35.63900,1,25,16777215,1582884305,2020-02-28 04:05:05,645,0,29224930104049671,80ae79aa,我是穷人吃不起早餐,,91188408
30,,110.78900,1,25,16777215,1582884348,2020-02-28 04:05:48,645,0,29224952849760261,b604443d,我不是人,,91188408
