Row_no,No,Showing_time,Mode,Font_size,Font_color,Created_time,Converted_time,Time_interval,Danmaku_pool,RowID,user_id_encrypt,Barrages_original,Barrages_simplified,VideoID
1,,1118.47300,1,25,16777215,1582779151,2020-02-26 22:52:31,643,0,29169799348617219,19c031b,不一定是无中生友啊，这不还有PS吗？,,91188408
2,,721.69000,1,25,16777215,1582779177,2020-02-26 22:52:57,643,0,29169812756758531,4057ae9d,千万别当医生,,91188408
3,,1207.51000,1,25,16777215,1582779191,2020-02-26 22:53:11,643,0,29169820270329861,25642439,刘飞儿好评,,91188408
4,,55.02300,1,25,16777215,1582779232,2020-02-26 22:53:52,643,0,29169841369251847,f2e9d289,你再骂,,91188408
5,,889.05600,1,25,16777215,1582779242,2020-02-26 22:54:02,643,0,29169846664036357,536374e7,P7只有50w吗？,,91188408
6,,1015.97600,1,25,16777215,1582779249,2020-02-26 22:54:09,643,0,29169850844184579,5507fabc,哈哈哈哈哈哈,,91188408
7,,214.91400,1,25,16777215,1582779267,2020-02-26 22:54:27,643,0,29169859774906375,b02b1988,一开始除以12就错了，第四季度才3个月,,91188408
8,,52.24200,1,25,16777215,1582779332,2020-02-26 22:55:32,643,0,29169893994135555,ee83a1bc,除了北上广都不算人,,91188408
9,,302.19300,1,25,16646914,1582779345,2020-02-26 22:55:45,643,0,29169900845531139,938a8299,中位数更加合理,,91188408
10,,49.27200,1,25,16777215,1582779350,2020-02-26 22:55:50,643,0,29169903267741699,69b3a884,不算,,91188408
11,,70.27100,1,25,16777215,1582779371,2020-02-26 22:56:11,643,0,29169914503233543,69b3a884,呵呵,,91188408
12,,614.91700,1,25,16765698,1582779401,2020-02-26 22:56:41,643,0,29169930106568711,29e4d135,有个保送的学长暑假做家教挣了3万,,91188408
13,,41.96100,1,25,16777215,1582779402,2020-02-26 22:56:42,643,0,29169930618273799,a166d650,知乎人均月薪10k起 豆瓣人均家产千万起,,91188408
14,,282.37000,1,25,16777215,1582779404,2020-02-26 22:56:44,643,0,29169931905400835,dfa9cce9,应该是第八亿吧…………,,91188408
15,,912.29800,1,25,16777215,1582779405,2020-02-26 22:56:45,643,0,29169932448038919,c3e9b397,我也不懂电脑,,91188408
16,,1037.09700,1,25,16646914,1582779406,2020-02-26 22:56:46,643,0,29169932906266629,9e99b846,呵呵呵呵呵呵呵呵呵呵,,91188408
17,,480.10600,1,25,16777215,1582779432,2020-02-26 22:57:12,643,0,29169946436567047,a262f09,我每天早餐不超10,,91188408
18,,15.69500,1,25,16777215,1582779460,2020-02-26 22:57:40,643,0,29169961087270919,63f35604,这个bgm非洲警告,,91188408
19,,38.78000,1,25,16777215,1582779483,2020-02-26 22:58:03,643,0,29169973260189699,63f35604,？？？？？？？？？？？？？？？？,,91188408
20,,44.48400,1,25,16777215,1582779488,2020-02-26 22:58:08,643,0,29169976256495619,63f35604,你再骂,,91188408
21,,194.27800,1,25,16777215,1582779495,2020-02-26 22:58:15,643,0,29169979332493315,69b3a884,我不算,,91188408
22,,157.28400,1,25,16777215,1582779505,2020-02-26 22:58:25,643,0,29169984671318023,7b56afec,统计局说的是季度，不是年，一季度三个月,,91188408
23,,507.85000,1,25,16777215,1582779535,2020-02-26 22:58:55,643,0,29170000537321477,6079fc8f,苏州北部说的相城区吗,,91188408
24,,1199.54800,1,25,16777215,1582779542,2020-02-26 22:59:02,643,0,29170004323205125,f68caac6,别学化学,,91188408
25,,714.58500,1,25,16777215,1582779548,2020-02-26 22:59:08,643,0,29170007341006855,22b0fb2e,国企要看不同单位的,,91188408
26,,104.62200,1,25,16777215,1582779553,2020-02-26 22:59:13,643,0,29170009946718211,964356c2,转移净收入包括养老金,,91188408
27,,69.21400,1,25,16777215,1582779569,2020-02-26 22:59:29,643,0,29170018189049859,d2c95a29,我不是人,,91188408
28,,35.09700,1,25,16777215,1582779591,2020-02-26 22:59:51,643,0,29170029778960389,1c2a0459,在北京住的离公司近，自己做早饭成本也就两三块左右,,91188408
29,,10.50900,4,25,16777215,1582779628,2020-02-26 23:00:28,643,0,29170049386807301,a676d0c2,.,,91188408
30,,137.72700,1,25,16777215,1582779632,2020-02-26 23:00:32,643,0,29170051272146951,a166d650,很多老人有退休金,,91188408
31,,298.86300,1,25,16777215,1582779637,2020-02-26 23:00:37,643,0,29170054000017415,364ef190,东一句西一句的，好无聊啊,,91188408
32,,27.38100,4,25,16777215,1582779645,2020-02-26 23:00:45,643,0,29170058299703299,a676d0c2,非洲,,91188408
33,,864.26900,1,25,16777215,1582779649,2020-02-26 23:00:49,643,0,29170060082806787,87962567,双非不是人路过,,91188408
34,,1010.32100,1,25,16777215,1582779649,2020-02-26 23:00:49,643,0,29170060191334407,993d6b68,哈哈哈哈哈哈哈哈哈哈哈哈,,91188408
35,,144.52800,1,25,16777215,1582779655,2020-02-26 23:00:55,643,0,29170063097462791,d2c95a29,老人有退休金,,91188408
36,,117.70300,1,25,16777215,1582779723,2020-02-26 23:02:03,643,0,29170098871730181,15549814,第四季度，这数字要再X4.。。。,,91188408
37,,969.54500,1,25,16777215,1582779729,2020-02-26 23:02:09,643,0,29170101957689349,4057ae9d,嘲笑快手的都是想找自我优越感的人。只要没有违法，没有破坏道德，就不该被批评。,,91188408
38,,228.06800,1,25,16777215,1582779748,2020-02-26 23:02:28,643,0,29170111935414279,d2c95a29,我是倒数,,91188408
39,,42.51100,1,25,16777215,1582779750,2020-02-26 23:02:30,643,0,29170113028554821,b78e6b89,在纽约呢,,91188408
40,,1011.00600,1,25,16777215,1582779772,2020-02-26 23:02:52,643,0,29170124822937605,4057ae9d,我就是初中生,,91188408
41,,1161.82300,1,25,16777215,1582779780,2020-02-26 23:03:00,643,0,29170128918151171,f3694f30,学计算机,,91188408
42,,1019.74700,1,25,16777215,1582779795,2020-02-26 23:03:15,643,0,29170136942903299,b7bb9a94,快来喷我,,91188408
43,,89.20900,1,25,16777215,1582779806,2020-02-26 23:03:26,643,0,29170142433771525,d831f3f8,平均是没有意义的，中位数和众数才有意义,,91188408
44,,38.14400,1,25,16777215,1582779815,2020-02-26 23:03:35,643,0,29170147373088775,9d208899,不算！,,91188408
45,,59.06100,1,25,16777215,1582779835,2020-02-26 23:03:55,643,0,29170157551091715,89f374f8,最后一期,,91188408
46,,637.03200,1,25,16777215,1582779857,2020-02-26 23:04:17,643,0,29170169215975427,87977135,是我了,,91188408
47,,1178.65800,1,25,16777215,1582779862,2020-02-26 23:04:22,643,0,29170171748286471,b84fa92d,你币没了,,91188408
48,,318.61200,5,25,16707842,1582779864,2020-02-26 23:04:24,643,0,29170172952051717,f5b57885,全 面 小 康,,91188408
49,,633.57600,1,25,16777215,1582779872,2020-02-26 23:04:32,643,0,29170177031536643,f8b59543,默默三连,,91188408
50,,571.52800,1,25,16777215,1582779873,2020-02-26 23:04:33,643,0,29170178017198085,a57bace0,默默的看哭了，我二流子水平，快30了没人要，我已不打算结婚了,,91188408
51,,78.81700,1,25,16777215,1582779878,2020-02-26 23:04:38,643,0,29170180276879363,9605fcdb,我不信统计局啊,,91188408
52,,1205.01800,1,25,16777215,1582779893,2020-02-26 23:04:53,643,0,29170187978145799,b84fa92d,下次也不一定,,91188408
53,,389.49100,1,25,16777215,1582779915,2020-02-26 23:05:15,643,0,29170199632019463,6171b89,不可能，住在我这种郊区的，上班坐地铁一个半小时的位置，月租2400,,91188408
54,,1091.40700,1,25,16777215,1582779919,2020-02-26 23:05:19,643,0,29170201750142981,b7bb9a94,反手一个超级加倍，闷声发大财,,91188408
55,,129.64600,1,25,16777215,1582779920,2020-02-26 23:05:20,643,0,29170201997606919,964356c2,这是季度数据，说年度的真的去国统局看了吗？核对数据正确了吗？,,91188408
56,,389.73200,1,25,16777215,1582779959,2020-02-26 23:05:59,643,0,29170222876327941,d2c95a29,不能,,91188408
57,,284.90100,5,25,16646914,1582779992,2020-02-26 23:06:32,643,0,29170240147423235,b78e6b89,弹幕没读过书求你就别发言了,,91188408
58,,535.29100,1,25,15138834,1582780003,2020-02-26 23:06:43,643,0,29170245959155719,6ab704d8,不好意思全都不认识。,,91188408
59,,203.49700,1,25,16777215,1582780112,2020-02-26 23:08:32,643,0,29170303114412039,c772533f,福耀玻璃,,91188408
60,,536.47400,1,25,16777215,1582780116,2020-02-26 23:08:36,643,0,29170304865009667,d2c95a29,都不认识,,91188408
61,,917.67900,5,25,9033215,1582780116,2020-02-26 23:08:36,643,0,29170305305935879,5273fa12,up用心了,,91188408
62,,997.06900,1,25,16777215,1582780122,2020-02-26 23:08:42,643,0,29170308140236871,bbe0de5f,在你眼里是过程，可是他们都是活生生的人！,,91188408
63,,1013.74500,1,25,16646914,1582780136,2020-02-26 23:08:56,643,0,29170315728781319,3236edbf,哈哈哈哈哈哈哈哈哈哈哈哈太真实了,,91188408
64,,1031.29300,1,25,16646914,1582780150,2020-02-26 23:09:10,643,0,29170322996461571,3236edbf,哈哈哈,,91188408
65,,579.61400,1,25,16777215,1582780164,2020-02-26 23:09:24,643,0,29170330362183687,d2c95a29,不抽烟不喝酒,,91188408
66,,1162.90000,1,25,16646914,1582780187,2020-02-26 23:09:47,643,0,29170342100467717,15e44f5a,弹幕知乎化给我整笑了 哈哈哈,,91188408
